LCSC Part Number,Manufacturer,Package,Description,Order Qty.,Unit Price($),Component Type,Component Branch,Capacitance,Resistance,Voltage,Tolerance,Inductance,Current/Power
C85713,Samsung Electro-Mechanics,0603,10V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.0054,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,10u,,10V,±20%,,
C1525,Samsung Electro-Mechanics,0402,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,200,0.0011,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,100n,,16V,±10%,,
C26010,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 3.3kΩ 0805 Chip Resistor - Surface Mount ROHS,100,0.0018,Resistor,Chip Resistor - Surface Mount,,3.3kOhm,150V,±1%,,
C69335,Samsung Electro-Mechanics,0603,25V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,50,0.0147,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,4.7u,,25V,±10%,,
C1848,Samsung Electro-Mechanics,1206,50V 1uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.0157,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,1u,,50V,±10%,,
C32856,CX(Dongguan Chengxing Elec),"Plugin,D4xL7mm","10uF 50V ±20% Plugin,D4xL7mm Aluminum Electrolytic Capacitors - Leaded ROHS",50,0.012,Capacitor,Aluminum Electrolytic Capacitor - Leaded,10u,,50V,±20%,,
C2063,CX(Dongguan Chengxing Elec),"Plugin,D8xL12mm","220uF 35V ±20% Plugin,D8xL12mm Aluminum Electrolytic Capacitors - Leaded ROHS",10,0.0346,Capacitor,Aluminum Electrolytic Capacitor - Leaded,220u,,35V,±20%,,
C14663,YAGEO,0603,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.0019,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,100n,,50V,±10%,,
C437593,Shandong Jingdao Microelectronics,SOD-123FL,1A Independent Type 600V 1.1V@1A SOD-123FL Diodes - General Purpose ROHS,100,0.007,Diode,General Purpose Diode,,,600V,,,1A
C908652,GOODWORK,SMAF,1.7V@2A 35ns Independent Type 2A 600V SMAF Fast Recovery / High Efficiency Diodes ROHS,20,0.0122,Diode,Fast Recovery / High Efficiency Diode,,,1.7V,,,2A
C173429,MDD(Microdiode Semiconductor),SOD-123,Independent Type 11.4V~12.7V 500mW 12V SOD-123 Zener Diodes ROHS,50,0.0102,Diode,Zener Diode,,,11.4V,,,500mW
C2987730,POWER INTEGRATIONS,SO-7,360mA 725V 66kHz SO-7 AC-DC Controllers and Regulators ROHS,3,0.6646,,,,,,,,
C724292,YJYCOIN,"SMD,5x5mm","470uH ±20% SMD,5x5mm Power Inductors ROHS",5,0.0566,Inductor,Power Inductor,,,,±20%,470u,5m
C96973,Sunlord,"SMD,8x8mm","450mA 680uH ±20% SMD,8x8mm Power Inductors ROHS",5,0.104,Inductor,Power Inductor,,,,±20%,450m,450m
C5128207,HUASHUO,PRPAK(5x6),"60V 50A 16mΩ@10V,12A 3.6W 2.5V@250uA 2 N-Channel PRPAK(5x6) MOSFETs ROHS",6,0.2922,,,,,,,,
C25126,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 560Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0005,Resistor,Chip Resistor - Surface Mount,,560Ohm,50V,±1%,,
C423084,UNI-ROYAL(Uniroyal Elec),0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±0.5% 12.1kΩ 0603 Chip Resistor - Surface Mount ROHS,100,0.0041,Resistor,Chip Resistor - Surface Mount,,12.1kOhm,75V,,,
C104087,RALEC,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 20kΩ 0805 Chip Resistor - Surface Mount ROHS,100,0.0041,Resistor,Chip Resistor - Surface Mount,,20kOhm,150V,±5%,,
C400682,PANASONIC,0603,100mW Thick Film Resistors ±5% ±200ppm/℃ 27kΩ 0603 Chip Resistor - Surface Mount ROHS,100,0.005,Resistor,Chip Resistor - Surface Mount,,27kOhm,,±5%,,
C403100,PANASONIC,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 2.49kΩ 0603 Chip Resistor - Surface Mount ROHS,100,0.0049,Resistor,Chip Resistor - Surface Mount,,2.49kOhm,,±1%,,
C21189,UNI-ROYAL(Uniroyal Elec),0603,100mW Thick Film Resistors 75V ±1% 0Ω 0603 Chip Resistor - Surface Mount ROHS,100,0.001,Resistor,Chip Resistor - Surface Mount,,0Ohm,75V,±1%,,
C17408,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 100Ω 0805 Chip Resistor - Surface Mount ROHS,100,0.0017,Resistor,Chip Resistor - Surface Mount,,100Ohm,150V,±1%,,
C304616,FH (Guangdong Fenghua Advanced Tech),0402,62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 4.7kΩ 0402 Chip Resistor - Surface Mount ROHS,50,0.0004,Resistor,Chip Resistor - Surface Mount,,4.7kOhm,50V,±1%,,
C209744,CCO(Chian Chia Elec),"Plugin,P=5mm","Safety Resistor 22Ω 2W ±200ppm/℃ ±5% Plugin,P=5mm Through Hole Resistors ROHS",20,0.0661,Resistor,Through Hole Resistor,,22Ohm,,±5%,,
C3034527,KNSCHA,"Plugin,D6.3xL16mm","10uF 400V ±20% Plugin,D6.3xL16mm Aluminum Electrolytic Capacitors - Leaded ROHS",10,0.0941,Capacitor,Aluminum Electrolytic Capacitor - Leaded,10u,,400V,±20%,,
C507118,Microchip Tech,QFN-20-EP(3x3),16KB 1.8V~5.5V AVR 2KB 20MHz FLASH 18 QFN-20-EP(3x3) Microcontrollers (MCU/MPU/SOC) ROHS,6,0.7518,,,,,,,,
C85619,MCC(Micro Commercial Components),MBS,35A 1V@400mA 800mA 600V MBS Bridge Rectifiers ROHS,20,0.0442,,,,,,,,
